capture_id,capture_date_local,capture_time_local,subject_id,subject_id,image_basename,image_rank_in_capture,subject_id,subject_id,question__species,kingdom,phylum,class,order,family,genus,species,common_name
KAR_S1#A02#1#13,2017-10-07,14:20:50,28794796,28794796,KAR_S1_A02_R1_IMAG0033.JPG,1,28794796,28794796,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#13,2017-10-07,14:20:50,28794796,28794796,KAR_S1_A02_R1_IMAG0034.JPG,2,28794796,28794796,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#13,2017-10-07,14:20:50,28794796,28794796,KAR_S1_A02_R1_IMAG0035.JPG,3,28794796,28794796,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#16,2017-10-09,07:06:00,28794799,28794799,KAR_S1_A02_R1_IMAG0038.JPG,1,28794799,28794799,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#16,2017-10-09,07:06:00,28794799,28794799,KAR_S1_A02_R1_IMAG0039.JPG,2,28794799,28794799,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#16,2017-10-09,07:06:00,28794799,28794799,KAR_S1_A02_R1_IMAG0040.JPG,3,28794799,28794799,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#17,2017-10-10,07:42:44,28794800,28794800,KAR_S1_A02_R1_IMAG0041.JPG,1,28794800,28794800,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#17,2017-10-10,07:42:44,28794800,28794800,KAR_S1_A02_R1_IMAG0042.JPG,2,28794800,28794800,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#17,2017-10-10,07:42:44,28794800,28794800,KAR_S1_A02_R1_IMAG0043.JPG,3,28794800,28794800,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#18,2017-10-10,07:44:18,28794801,28794801,KAR_S1_A02_R1_IMAG0044.JPG,1,28794801,28794801,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#18,2017-10-10,07:44:18,28794801,28794801,KAR_S1_A02_R1_IMAG0045.JPG,2,28794801,28794801,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#18,2017-10-10,07:44:18,28794801,28794801,KAR_S1_A02_R1_IMAG0046.JPG,3,28794801,28794801,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#19,2017-10-10,08:39:29,28794802,28794802,KAR_S1_A02_R1_IMAG0047.JPG,1,28794802,28794802,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#19,2017-10-10,08:39:29,28794802,28794802,KAR_S1_A02_R1_IMAG0048.JPG,2,28794802,28794802,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#19,2017-10-10,08:39:29,28794802,28794802,KAR_S1_A02_R1_IMAG0049.JPG,3,28794802,28794802,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#20,2017-10-10,10:24:09,28794803,28794803,KAR_S1_A02_R1_IMAG0050.JPG,1,28794803,28794803,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#20,2017-10-10,10:24:09,28794803,28794803,KAR_S1_A02_R1_IMAG0051.JPG,2,28794803,28794803,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#20,2017-10-10,10:24:09,28794803,28794803,KAR_S1_A02_R1_IMAG0052.JPG,3,28794803,28794803,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#21,2017-10-10,10:35:23,28794804,28794804,KAR_S1_A02_R1_IMAG0053.JPG,1,28794804,28794804,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#21,2017-10-10,10:35:23,28794804,28794804,KAR_S1_A02_R1_IMAG0054.JPG,2,28794804,28794804,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#21,2017-10-10,10:35:23,28794804,28794804,KAR_S1_A02_R1_IMAG0055.JPG,3,28794804,28794804,zebramountain,animalia,chordata,mammalia,perissodactyla,equidae,equus,equus zebra,mountain zebra
KAR_S1#A02#1#22,2017-10-10,11:38:35,28794805,28794805,KAR_S1_A02_R1_IMAG0056.JPG,1,28794805,28794805,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#22,2017-10-10,11:38:35,28794805,28794805,KAR_S1_A02_R1_IMAG0057.JPG,2,28794805,28794805,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#22,2017-10-10,11:38:35,28794805,28794805,KAR_S1_A02_R1_IMAG0058.JPG,3,28794805,28794805,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#23,2017-10-13,08:55:23,28794806,28794806,KAR_S1_A02_R1_IMAG0059.JPG,1,28794806,28794806,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
