filename,giraffe,zebra
000000000001.jpg,0,1
000000000002.jpg,0,1
000000000003.jpg,0,1
000000000004.jpg,0,1
000000000005.jpg,1,0
000000000006.jpg,1,0
000000000007.jpg,1,0
000000000008.jpg,0,1
000000000009.jpg,0,1
000000000010.jpg,0,1
000000000011.jpg,0,1
000000000012.jpg,0,1
000000000013.jpg,0,1
000000000014.jpg,0,1
000000000015.jpg,0,1
000000000016.jpg,0,1
000000000017.jpg,0,1
000000000018.jpg,0,1
000000000019.jpg,0,1
000000000020.jpg,0,1
000000000021.jpg,0,1
000000000022.jpg,0,1
000000000023.jpg,0,1
000000000024.jpg,0,1
000000000025.jpg,0,1
000000000026.jpg,0,1
000000000027.jpg,0,1
000000000028.jpg,0,1
000000000029.jpg,0,1
000000000030.jpg,0,1
000000000031.jpg,0,1
000000000032.jpg,0,1
000000000033.jpg,0,1
000000000034.jpg,0,1
000000000035.jpg,0,1
000000000036.jpg,0,1
000000000037.jpg,0,1
000000000038.jpg,0,1
000000000039.jpg,0,1
000000000040.jpg,0,1
000000000041.jpg,0,1
000000000042.jpg,0,1
000000000043.jpg,0,1
000000000044.jpg,1,0
000000000045.jpg,1,0
000000000046.jpg,1,0
000000000047.jpg,1,0
000000000048.jpg,1,0
000000000049.jpg,1,0
000000000050.jpg,0,1
000000000051.jpg,0,1
000000000052.jpg,0,1
000000000053.jpg,0,1
000000000054.jpg,0,1
000000000055.jpg,0,1
000000000056.jpg,0,1
000000000057.jpg,0,1
000000000058.jpg,0,1
000000000059.jpg,0,1
000000000060.jpg,0,1
000000000061.jpg,1,0
000000000062.jpg,1,0
000000000063.jpg,1,0
000000000064.jpg,1,0
000000000065.jpg,1,0
000000000066.jpg,1,0
000000000067.jpg,1,0
000000000068.jpg,1,0
000000000069.jpg,0,1
000000000070.jpg,0,1
000000000071.jpg,0,1
000000000072.jpg,0,1
000000000073.jpg,0,1
000000000074.jpg,0,1
000000000075.jpg,0,1
000000000076.jpg,0,1
000000000077.jpg,0,1
000000000078.jpg,0,1
000000000079.jpg,0,1
000000000080.jpg,0,1
000000000081.jpg,0,1
000000000082.jpg,0,1
000000000083.jpg,0,1
000000000084.jpg,0,1
000000000085.jpg,0,1
000000000086.jpg,0,1
000000000087.jpg,0,1
000000000088.jpg,0,1
000000000089.jpg,0,1
000000000090.jpg,0,1
000000000091.jpg,0,1
000000000092.jpg,0,1
000000000093.jpg,0,1
000000000094.jpg,0,1
000000000095.jpg,0,1
000000000096.jpg,0,1
000000000097.jpg,0,1
000000000098.jpg,0,1
000000000099.jpg,0,1
000000000100.jpg,0,1
000000000101.jpg,0,1
000000000102.jpg,0,1
000000000103.jpg,0,1
000000000104.jpg,0,1
000000000105.jpg,0,1
000000000106.jpg,0,1
000000000107.jpg,0,1
000000000108.jpg,0,1
000000000109.jpg,0,1
000000000110.jpg,0,1
000000000111.jpg,0,1
000000000112.jpg,0,1
000000000113.jpg,0,1
000000000114.jpg,0,1
000000000115.jpg,0,1
000000000116.jpg,0,1
000000000117.jpg,0,1
000000000118.jpg,0,1
000000000119.jpg,0,1
000000000120.jpg,0,1
000000000121.jpg,1,0
000000000122.jpg,1,0
000000000123.jpg,1,0
000000000124.jpg,1,0
000000000125.jpg,1,0
000000000126.jpg,1,0
000000000127.jpg,0,1
000000000128.jpg,0,1
000000000129.jpg,0,1
000000000130.jpg,0,1
000000000131.jpg,0,1
000000000132.jpg,0,1
000000000133.jpg,0,1
000000000134.jpg,0,1
000000000135.jpg,0,1
000000000136.jpg,0,1
000000000137.jpg,0,1
000000000138.jpg,0,1
000000000139.jpg,0,1
000000000140.jpg,1,0
000000000141.jpg,0,1
000000000142.jpg,0,1
000000000143.jpg,0,1
000000000144.jpg,0,1
000000000145.jpg,0,1
000000000146.jpg,0,1
000000000147.jpg,1,0
000000000148.jpg,0,1
000000000149.jpg,0,1
000000000150.jpg,0,1
000000000151.jpg,1,0
000000000152.jpg,0,1
000000000153.jpg,0,1
000000000154.jpg,0,1
000000000155.jpg,0,1
000000000156.jpg,0,1
000000000157.jpg,0,1
000000000158.jpg,0,1
000000000159.jpg,0,1
000000000160.jpg,0,1
000000000161.jpg,0,1
000000000162.jpg,0,1
000000000163.jpg,0,1
000000000164.jpg,0,1
000000000165.jpg,0,1
000000000166.jpg,0,1
000000000167.jpg,0,1
000000000168.jpg,0,1
000000000169.jpg,0,1
000000000170.jpg,0,1
000000000171.jpg,1,0
000000000172.jpg,1,0
000000000173.jpg,1,0
000000000174.jpg,1,0
000000000175.jpg,1,0
000000000176.jpg,1,0
000000000177.jpg,1,0
000000000178.jpg,1,0
000000000179.jpg,1,0
000000000180.jpg,1,0
000000000181.jpg,0,1
000000000182.jpg,0,1
000000000183.jpg,0,1
000000000184.jpg,0,1
000000000185.jpg,0,1
000000000186.jpg,0,1
000000000187.jpg,0,1
000000000188.jpg,0,1
000000000189.jpg,0,1
000000000190.jpg,1,0
000000000191.jpg,1,0
000000000192.jpg,1,0
000000000193.jpg,1,0
000000000194.jpg,1,0
000000000195.jpg,1,0
000000000196.jpg,1,0
000000000197.jpg,1,0
000000000198.jpg,1,0
000000000199.jpg,1,0
000000000200.jpg,1,0
000000000201.jpg,1,0
000000000202.jpg,1,0
000000000203.jpg,1,0
000000000204.jpg,0,1
000000000205.jpg,0,1
000000000206.jpg,0,1
000000000207.jpg,0,1
000000000208.jpg,0,1
000000000209.jpg,0,1
000000000210.jpg,0,1
000000000211.jpg,0,1
000000000212.jpg,0,1
000000000213.jpg,0,1
000000000214.jpg,0,1
000000000215.jpg,0,1
000000000216.jpg,0,1
000000000217.jpg,0,1
000000000218.jpg,0,1
000000000219.jpg,0,1
000000000220.jpg,0,1
000000000221.jpg,0,1
000000000222.jpg,0,1
000000000223.jpg,0,1
000000000224.jpg,0,1
000000000225.jpg,0,1
000000000226.jpg,0,1
000000000227.jpg,0,1
000000000228.jpg,0,1
000000000229.jpg,0,1
000000000230.jpg,0,1
000000000231.jpg,0,1
000000000232.jpg,0,1
000000000233.jpg,0,1
000000000234.jpg,0,1
000000000235.jpg,0,1
000000000236.jpg,0,1
000000000237.jpg,0,1
000000000238.jpg,0,1
000000000239.jpg,0,1
000000000240.jpg,0,1
000000000241.jpg,0,1
000000000242.jpg,0,1
000000000243.jpg,0,1
000000000244.jpg,0,1
000000000245.jpg,0,1
000000000246.jpg,0,1
000000000247.jpg,0,1
000000000248.jpg,0,1
000000000249.jpg,0,1
000000000250.jpg,0,1
000000000251.jpg,0,1
000000000252.jpg,0,1
000000000253.jpg,0,1
000000000254.jpg,0,1
000000000255.jpg,0,1
000000000256.jpg,0,1
000000000257.jpg,0,1
000000000258.jpg,0,1
000000000259.jpg,0,1
000000000260.jpg,0,1
000000000261.jpg,0,1
000000000262.jpg,0,1
000000000263.jpg,0,1
000000000264.jpg,0,1
000000000265.jpg,0,1
000000000266.jpg,0,1
000000000267.jpg,0,1
000000000268.jpg,0,1
000000000269.jpg,0,1
000000000270.jpg,0,1
000000000271.jpg,0,1
000000000272.jpg,0,1
000000000273.jpg,0,1
000000000274.jpg,0,1
000000000275.jpg,0,1
000000000276.jpg,0,1
000000000277.jpg,0,1
000000000278.jpg,0,1
000000000279.jpg,0,1
000000000280.jpg,0,1
000000000281.jpg,0,1
000000000282.jpg,0,1
000000000283.jpg,0,1
000000000284.jpg,0,1
000000000285.jpg,0,1
000000000286.jpg,0,1
000000000287.jpg,0,1
000000000288.jpg,0,1
