Seed,Dataset,Model,Sequence Length,Embedding Size,Memory Usage (MB),Training Time (seconds),Training Time per Epoch (seconds),NDCG@10,HIT@10
0,Beauty,BERT4Rec,20,64,4947,1132,226,0.254,0.404
0,Beauty,BERT4Rec,20,128,5170,1182,236,0.251,0.402
0,Beauty,BERT4Rec,20,256,5622,1320,264,0.243,0.381
0,Beauty,BERT4Rec,50,64,12087,1247,249,0.252,0.403
0,Beauty,BERT4Rec,50,128,12370,1198,240,0.251,0.400
0,Beauty,BERT4Rec,50,256,12963,1426,285,0.243,0.380
0,Beauty,BERT4Rec,100,64,23991,1353,271,0.250,0.399
0,Beauty,BERT4Rec,100,128,24393,1488,298,0.250,0.398
0,Beauty,BERT4Rec,100,256,25180,1857,371,0.244,0.380
42,Beauty,BERT4Rec,20,64,4947,1346,269,0.251,0.400
42,Beauty,BERT4Rec,20,128,5170,1999,400,0.251,0.398
42,Beauty,BERT4Rec,20,256,5622,1892,378,0.239,0.378
42,Beauty,BERT4Rec,50,64,12087,1234,247,0.251,0.403
42,Beauty,BERT4Rec,50,128,12370,1238,248,0.254,0.402
42,Beauty,BERT4Rec,50,256,12963,1380,276,0.244,0.385
42,Beauty,BERT4Rec,100,64,23991,1303,261,0.254,0.407
42,Beauty,BERT4Rec,100,128,24393,1408,282,0.250,0.395
42,Beauty,BERT4Rec,100,256,25180,1742,348,0.240,0.377
123,Beauty,BERT4Rec,20,64,4947,1031,206,0.248,0.399
123,Beauty,BERT4Rec,20,128,5170,1118,224,0.255,0.407
123,Beauty,BERT4Rec,20,256,5622,1214,243,0.247,0.388
123,Beauty,BERT4Rec,50,64,12087,1142,228,0.252,0.401
123,Beauty,BERT4Rec,50,128,12370,1246,249,0.254,0.400
123,Beauty,BERT4Rec,50,256,12963,1449,290,0.252,0.393
123,Beauty,BERT4Rec,100,64,23991,1346,269,0.250,0.398
123,Beauty,BERT4Rec,100,128,24393,1580,316,0.250,0.395
123,Beauty,BERT4Rec,100,256,25180,1933,387,0.246,0.383
0,Beauty,Cotten4Rec,20,64,3781,1066,213,0.250,0.398
0,Beauty,Cotten4Rec,20,128,4014,1126,225,0.242,0.392
0,Beauty,Cotten4Rec,20,256,4488,1643,329,0.244,0.392
0,Beauty,Cotten4Rec,50,64,9135,1204,241,0.249,0.398
0,Beauty,Cotten4Rec,50,128,9426,1315,263,0.249,0.397
0,Beauty,Cotten4Rec,50,256,10024,1408,282,0.232,0.372
0,Beauty,Cotten4Rec,100,64,18055,1388,278,0.252,0.404
0,Beauty,Cotten4Rec,100,128,18449,1490,298,0.247,0.393
0,Beauty,Cotten4Rec,100,256,19228,1637,327,0.237,0.376
42,Beauty,Cotten4Rec,20,64,3781,1129,226,0.250,0.401
42,Beauty,Cotten4Rec,20,128,4014,1175,235,0.247,0.396
42,Beauty,Cotten4Rec,20,256,4488,1199,240,0.239,0.381
42,Beauty,Cotten4Rec,50,64,9135,1194,239,0.252,0.407
42,Beauty,Cotten4Rec,50,128,9426,1248,250,0.247,0.392
42,Beauty,Cotten4Rec,50,256,10024,1311,262,0.243,0.389
42,Beauty,Cotten4Rec,100,64,18055,1372,274,0.253,0.404
42,Beauty,Cotten4Rec,100,128,18449,1431,286,0.243,0.392
42,Beauty,Cotten4Rec,100,256,19228,1663,333,0.240,0.380
123,Beauty,Cotten4Rec,20,64,3781,1151,230,0.249,0.397
123,Beauty,Cotten4Rec,20,128,4014,1116,223,0.247,0.394
123,Beauty,Cotten4Rec,20,256,4488,1232,246,0.232,0.376
123,Beauty,Cotten4Rec,50,64,9135,1249,250,0.252,0.403
123,Beauty,Cotten4Rec,50,128,9426,1281,256,0.244,0.393
123,Beauty,Cotten4Rec,50,256,10024,1387,277,0.235,0.380
123,Beauty,Cotten4Rec,100,64,18055,1446,289,0.253,0.404
123,Beauty,Cotten4Rec,100,128,18449,1507,301,0.245,0.394
123,Beauty,Cotten4Rec,100,256,19228,1685,337,0.242,0.385
0,Beauty,LinRec,20,64,4952,1096,219,0.252,0.405
0,Beauty,LinRec,20,128,5186,1119,224,0.252,0.401
0,Beauty,LinRec,20,256,5668,1230,246,0.252,0.393
0,Beauty,LinRec,50,64,12085,1199,240,0.257,0.412
0,Beauty,LinRec,50,128,12388,1321,264,0.247,0.392
0,Beauty,LinRec,50,256,13023,1518,304,0.241,0.380
0,Beauty,LinRec,100,64,23964,1393,279,0.252,0.404
0,Beauty,LinRec,100,128,24394,1555,311,0.252,0.397
0,Beauty,LinRec,100,256,25245,1846,369,0.241,0.377
42,Beauty,LinRec,20,64,4952,1155,231,0.250,0.400
42,Beauty,LinRec,20,128,5186,1343,269,0.249,0.395
42,Beauty,LinRec,20,256,5668,1474,295,0.244,0.385
42,Beauty,LinRec,50,64,12085,1197,239,0.253,0.405
42,Beauty,LinRec,50,128,12388,1268,254,0.252,0.398
42,Beauty,LinRec,50,256,13023,1437,287,0.240,0.378
42,Beauty,LinRec,100,64,23964,1345,269,0.251,0.405
42,Beauty,LinRec,100,128,24394,1543,309,0.250,0.400
42,Beauty,LinRec,100,256,25245,1850,370,0.242,0.381
123,Beauty,LinRec,20,64,4952,1118,224,0.250,0.400
123,Beauty,LinRec,20,128,5186,1123,225,0.246,0.392
123,Beauty,LinRec,20,256,5668,1235,247,0.238,0.376
123,Beauty,LinRec,50,64,12085,1168,234,0.250,0.399
123,Beauty,LinRec,50,128,12388,1320,264,0.254,0.399
123,Beauty,LinRec,50,256,13023,1447,289,0.241,0.375
123,Beauty,LinRec,100,64,23964,1386,277,0.252,0.401
123,Beauty,LinRec,100,128,24394,1518,304,0.255,0.398
123,Beauty,LinRec,100,256,25245,1807,361,0.241,0.378
0,ML-1M,BERT4Rec,50,64,507,255,13,0.277,0.493
0,ML-1M,BERT4Rec,50,128,622,273,14,0.389,0.633
0,ML-1M,BERT4Rec,50,256,873,282,14,0.480,0.709
0,ML-1M,BERT4Rec,100,64,1014,255,13,0.264,0.476
0,ML-1M,BERT4Rec,100,128,1248,265,13,0.360,0.610
0,ML-1M,BERT4Rec,100,256,1691,291,15,0.482,0.717
0,ML-1M,BERT4Rec,200,64,2104,276,14,0.261,0.480
0,ML-1M,BERT4Rec,200,128,2531,297,15,0.332,0.583
0,ML-1M,BERT4Rec,200,256,3431,324,16,0.473,0.710
0,ML-1M,Cotten4Rec,50,64,396,282,14,0.263,0.471
0,ML-1M,Cotten4Rec,50,128,499,408,20,0.305,0.533
0,ML-1M,Cotten4Rec,50,256,727,440,22,0.392,0.634
0,ML-1M,Cotten4Rec,100,64,764,367,18,0.264,0.477
0,ML-1M,Cotten4Rec,100,128,974,418,21,0.300,0.531
0,ML-1M,Cotten4Rec,100,256,1383,464,23,0.380,0.624
0,ML-1M,Cotten4Rec,200,64,1509,408,20,0.252,0.461
0,ML-1M,Cotten4Rec,200,128,1900,446,22,0.296,0.528
0,ML-1M,Cotten4Rec,200,256,2711,552,28,0.378,0.624
